1,Tempranillo,2019,Spain
2,Merlot,2020,France
3,Cabernet Sauvignon,2018,USA
4,Pinot Noir,2021,New Zealand
5,Sangiovese,2017,Italy
6,Malbec,2019,Argentina
7,Zinfandel,2020,USA
8,Shiraz,2018,Australia
9,Garnacha,2021,Spain
10,Barbera,2019,Italy
11,Nebbiolo,2020,Italy
12,Carménère,2018,Chile
13,Tannat,2019,Uruguay
14,Blaufränkisch,2021,Austria
15,Montepulciano,2017,Italy
16,Cinsault,2020,South Africa
17,Mourvèdre,2019,France
18,Alicante Bouschet,2018,Portugal
19,Nero d'Avola,2021,Italy
20,Primitivo,2019,Italy
21,Château Margaux,2015,France
22,Sassicaia,2016,Italy
23,Penfolds Grange,2017,Australia
24,Vega Sicilia Unico,2012,Spain
25,Domaine de la Romanée-Conti,2018,France
26,Château Lafite Rothschild,2015,France
27,Ornellaia,2019,Italy
28,Screaming Eagle,2018,USA
29,Château Petrus,2016,France
30,Gaja Barbaresco,2019,Italy
